player_name,player_id,player,prof_link,img_link
ABISHEK POREL,33333,abishek-porel,https://www.iplt20.com/players/abishek-porel/33333,https://documents.iplt20.com/ipl/IPLHeadshot2026/1580.png
TRISTAN STUBBS,20631,tristan-stubbs,https://www.iplt20.com/players/tristan-stubbs/20631,https://documents.iplt20.com/ipl/IPLHeadshot2026/1017.png
AXAR PATEL,1113,axar-patel,https://www.iplt20.com/players/axar-patel/1113,https://documents.iplt20.com/ipl/IPLHeadshot2026/110.png
SAMEER RIZVI,20689,sameer-rizvi,https://www.iplt20.com/players/sameer-rizvi/20689,https://documents.iplt20.com/ipl/IPLHeadshot2026/1229.png
ASHUTOSH SHARMA,20703,ashutosh-sharma,https://www.iplt20.com/players/ashutosh-sharma/20703,https://documents.iplt20.com/ipl/IPLHeadshot2026/3109.png
VIPRAJ NIGAM,22053,vipraj-nigam,https://www.iplt20.com/players/vipraj-nigam/22053,https://documents.iplt20.com/ipl/IPLHeadshot2026/3560.png
TRIPURANA VIJAY,22252,tripurana-vijay,https://www.iplt20.com/players/tripurana-vijay/22252,https://documents.iplt20.com/ipl/IPLHeadshot2026/3563.png
MADHAV TIWARI,22259,madhav-tiwari,https://www.iplt20.com/players/madhav-tiwari/22259,https://documents.iplt20.com/ipl/IPLHeadshot2026/3561.png
MITCHELL STARC,490,mitchell-starc,https://www.iplt20.com/players/mitchell-starc/490,https://documents.iplt20.com/ipl/IPLHeadshot2026/31.png
T. NATARAJAN,3831,t.-natarajan,https://www.iplt20.com/players/t.-natarajan/3831,https://documents.iplt20.com/ipl/IPLHeadshot2026/224.png
MUKESH KUMAR,5622,mukesh-kumar,https://www.iplt20.com/players/mukesh-kumar/5622,https://documents.iplt20.com/ipl/IPLHeadshot2026/1462.png
DUSHMANTHA CHAMEERA,817,dushmantha-chameera,https://www.iplt20.com/players/dushmantha-chameera/817,https://documents.iplt20.com/ipl/IPLHeadshot2026/608.png
David Miller, 187,david-miller,https://www.iplt20.com/players/david-miller/187,https://documents.iplt20.com/ipl/IPLHeadshot2026/128.png
Ajay Mandal, 5811,ajay-mandal,https://www.iplt20.com/players/ajay-mandal/5811,https://documents.iplt20.com/ipl/IPLHeadshot2026/1931.png
Nitish Rana,2738,nitish-rana,https://www.iplt20.com/players/nitish-rana/2738,https://documents.iplt20.com/ipl/IPLHeadshot2026/148.png
AUQIB NABI,23005,auqib-nabi,https://www.iplt20.com/players/auqib-nabi/23005,https://documents.iplt20.com/ipl/IPLHeadshot2026/4543.png
LUNGISANI NGIDI,3746,lungisani-ngidi,https://www.iplt20.com/players/lungisani-ngidi/3746,https://documents.iplt20.com/ipl/IPLHeadshot2026/99.png
KYLE JAMIESON,1616,kyle-jamieson,https://www.iplt20.com/players/kyle-jamieson/1616,https://documents.iplt20.com/ipl/IPLHeadshot2026/382.png
REHAN AHMED,33340,rehan-ahmed,https://www.iplt20.com/players/rehan-ahmed/33340,https://documents.iplt20.com/ipl/IPLHeadshot2026/874.png
KULDEEP YADAV,261,kuldeep-yadav,https://www.iplt20.com/players/kuldeep-yadav/261,https://documents.iplt20.com/ipl/IPLHeadshot2026/14.png
AJINKYA RAHANE,135,ajinkya-rahane,https://www.iplt20.com/players/ajinkya-rahane/135,https://documents.iplt20.com/ipl/IPLHeadshot2026/44.png
